paper_id,title,summary,authors_joined,categories_joined,primary_category,published,updated,age_days,summary_chars,text_for_embedding,abs_url,pdf_url,comment
10.1145/3637528.3671801,Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices.,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",Artificial Intelligence,2000-01-01,2026-05-20,3650,223,"Title: Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2000-01-01
Categories: Artificial Intelligence, Information Retrieval
Summary: Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices.",https://doi.org/10.1145/3637528.3671801,https://doi.org/10.1145/3637528.3671801,Crossref record 10.1145/3637528.3671801
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall.,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",Information Retrieval,2000-01-01,2026-05-14,3650,199,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2000-01-01
Categories: Information Retrieval, Algorithms
Summary: Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall.",https://doi.org/10.1145/3637528.3671811,https://doi.org/10.1145/3637528.3671811,Crossref record 10.1145/3637528.3671811
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","Huy Dinh, Trang Vo","Databases, Information Systems",Databases,2000-01-01,2026-05-02,3650,206,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2000-01-01
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.",https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,Crossref record 10.1145/3637528.3671806
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",Information Retrieval,2026-04-30,2026-04-30,148,197,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.",https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,Crossref record 10.1145/3637528.3671809
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.,"Duc Vu, Thao Dang","Databases, Information Systems",Databases,2026-04-18,2026-04-18,160,215,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-04-18
Categories: Databases, Information Systems
Summary: Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.",https://doi.org/10.1145/3637528.3671803,https://doi.org/10.1145/3637528.3671803,Crossref record 10.1145/3637528.3671803
10.1145/3637528.3671805,Evaluating Retrieval Precision with Token F1 and LLM Judges,"Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.","Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",Natural Language Processing,2026-03-28,2026-03-28,181,206,"Title: Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2026-03-28
Categories: Natural Language Processing, Evaluation Methodology
Summary: Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.",https://doi.org/10.1145/3637528.3671805,https://doi.org/10.1145/3637528.3671805,Crossref record 10.1145/3637528.3671805
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",Information Retrieval,2026-04-30,2026-04-30,148,197,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.",https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,Crossref record 10.1145/3637528.3671809
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.,"Duc Vu, Thao Dang","Databases, Information Systems",Databases,2026-04-18,2026-04-18,160,215,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-04-18
Categories: Databases, Information Systems
Summary: Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.",https://doi.org/10.1145/3637528.3671803,https://doi.org/10.1145/3637528.3671803,Crossref record 10.1145/3637528.3671803
10.1145/3637528.3671805,Evaluating Retrieval Precision with Token F1 and LLM Judges,"Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.","Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",Natural Language Processing,2026-03-28,2026-03-28,181,206,"Title: Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2026-03-28
Categories: Natural Language Processing, Evaluation Methodology
Summary: Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.",https://doi.org/10.1145/3637528.3671805,https://doi.org/10.1145/3637528.3671805,Crossref record 10.1145/3637528.3671805
10.1145/3637528.3671824,Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",Evaluation Methodology,2026-06-12,2026-06-12,105,0,"Title: Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Published: 2026-06-12
Categories: Evaluation Methodology, Enterprise Systems
Summary: ",https://doi.org/10.1145/3637528.3671824,https://doi.org/10.1145/3637528.3671824,Crossref record 10.1145/3637528.3671824
